State,Month,Year,Incident,Animal,Severity,Monetary_Impact
Karnataka,3,2021,Conflict with humans,Crocodile,Critical,950
West Bengal,7,2025,Wild animal entering populated area,Elephant,High,511
Kerala,8,2023,Wild animal entering populated area,Bear,Medium,168
Rajasthan,4,2021,Conflict with humans,Deer,Low,48
West Bengal,2,2019,Illegal trade,Rhino,Low,95
Tamil Nadu,12,2018,Wild animal entering populated area,Wild Boar,Medium,39
Maharashtra,10,2023,Poaching,Tiger,Medium,208
Tamil Nadu,3,2021,Wild animal entering populated area,Cheetah,Medium,208
Tamil Nadu,1,2021,Wild animal entering populated area,Deer,Medium,173
Tamil Nadu,8,2018,Wild animal entering populated area,Elephant,Medium,198
Rajasthan,3,2025,Wild animal entering populated area,Deer,Medium,43
Maharashtra,12,2020,Poaching,Tiger,Medium,201
Karnataka,10,2021,Wild animal entering populated area,Deer,Low,84
Assam,7,2022,Smuggling,Tiger,Medium,59
Uttarakhand,10,2025,Smuggling,Rhino,Medium,125
Maharashtra,5,2022,Injury/Death,Snake,High,417
Uttar Pradesh,10,2019,Injury/Death,Deer,Medium,104
Rajasthan,5,2022,Conflict with humans,Leopard,High,434
Uttar Pradesh,7,2019,Wild animal entering populated area,Rhino,Medium,115
Karnataka,9,2023,Smuggling,Tiger,Critical,677
Uttar Pradesh,12,2020,Illegal trade,Tiger,Critical,717
Madhya Pradesh,5,2023,Smuggling,Bear,Critical,446
Rajasthan,1,2025,Wild animal entering populated area,Deer,Medium,212
Assam,10,2023,Conflict with humans,Tiger,Low,76
Madhya Pradesh,10,2019,Smuggling,Bear,Low,101
Kerala,1,2018,Wild animal entering populated area,Elephant,Medium,152
Uttar Pradesh,2,2022,Injury/Death,Rhino,High,172
Maharashtra,6,2020,Wild animal entering populated area,Crocodile,High,43
Tamil Nadu,9,2021,Wild animal entering populated area,Deer,Low,87
Assam,8,2024,Conflict with humans,Elephant,Low,37
Madhya Pradesh,5,2019,Conflict with humans,Leopard,Medium,208
Himachal Pradesh,1,2023,Wild animal entering populated area,Deer,Low,54
Uttar Pradesh,7,2025,Conflict with humans,Leopard,Low,123
Assam,5,2023,Conflict with humans,Elephant,High,405
Rajasthan,6,2020,Wild animal entering populated area,Deer,Medium,169
West Bengal,7,2023,Conflict with humans,Elephant,Low,102
Karnataka,3,2025,Injury/Death,Rhino,High,62
Karnataka,12,2022,Smuggling,Monkey,Medium,202
Uttar Pradesh,10,2022,Injury/Death,Monkey,Medium,99
Maharashtra,3,2025,Wild animal entering populated area,Deer,High,88
Tamil Nadu,5,2022,Wild animal entering populated area,Rhino,Low,30
West Bengal,6,2021,Poaching,Tiger,Low,81
Uttar Pradesh,9,2024,Wild animal entering populated area,Wild Boar,Low,128
Karnataka,12,2024,Wild animal entering populated area,Crocodile,Medium,118
Uttar Pradesh,5,2024,Trap/Accident,Rhino,High,327
Maharashtra,1,2022,Wild animal entering populated area,Monkey,High,202
West Bengal,4,2018,Wild animal entering populated area,Elephant,Low,98
Maharashtra,5,2025,Poaching,Tiger,Low,82
Uttar Pradesh,12,2024,Poaching,Tiger,Medium,153
Rajasthan,10,2022,Wild animal entering populated area,Bear,High,292
Maharashtra,10,2022,Injury/Death,Snake,Low,101
West Bengal,5,2025,Poaching,Tiger,Low,77
Maharashtra,7,2021,Injury/Death,Snake,Medium,83
Uttar Pradesh,4,2023,Illegal trade,Deer,High,492
Maharashtra,1,2021,Conflict with humans,Rhino,Medium,195
Tamil Nadu,5,2023,Poaching,Tiger,High,144
Karnataka,7,2025,Injury/Death,Snake,Low,39
Tamil Nadu,10,2019,Injury/Death,Snake,High,117
Kerala,10,2022,Wild animal entering populated area,Elephant,Low,65
Tamil Nadu,6,2025,Wild animal entering populated area,Crocodile,Medium,115
Assam,5,2019,Conflict with humans,Elephant,Critical,559
Madhya Pradesh,4,2022,Smuggling,Leopard,Low,36
Karnataka,2,2023,Poaching,Monkey,Medium,208
Maharashtra,4,2023,Conflict with humans,Leopard,Low,132
Maharashtra,10,2019,Trap/Accident,Wild Boar,Critical,595
Rajasthan,10,2018,Conflict with humans,Leopard,Low,41
Odisha,3,2021,Conflict with humans,Snake,Critical,66
Tamil Nadu,10,2020,Conflict with humans,Snake,Low,50
West Bengal,1,2023,Wild animal entering populated area,Elephant,Medium,204
Himachal Pradesh,8,2024,Wild animal entering populated area,Crocodile,Low,28
West Bengal,5,2023,Wild animal entering populated area,Elephant,Low,30
Assam,4,2021,Conflict with humans,Tiger,High,321
Goa,8,2019,Wild animal entering populated area,Elephant,Low,95
Karnataka,7,2023,Wild animal entering populated area,Rhino,Low,110
Maharashtra,2,2023,Wild animal entering populated area,Elephant,Low,40
Karnataka,1,2019,Illegal trade,Leopard,Low,65
Himachal Pradesh,12,2020,Trap/Accident,Monkey,Low,124
West Bengal,11,2023,Wild animal entering populated area,Elephant,Low,54
Rajasthan,4,2022,Illegal trade,Bear,High,363
Karnataka,8,2022,Conflict with humans,Elephant,Low,144
Assam,12,2018,Conflict with humans,Elephant,Medium,158
Kerala,2,2022,Conflict with humans,Snake,Medium,63
Karnataka,3,2021,Poaching,Deer,Medium,97
West Bengal,12,2022,Wild animal entering populated area,Elephant,Low,46
Assam,1,2024,Smuggling,Tiger,Low,110
Maharashtra,1,2021,Wild animal entering populated area,Wild Boar,Critical,677
Kerala,3,2025,Wild animal entering populated area,Deer,High,122
Odisha,11,2018,Smuggling,Deer,Low,19
Maharashtra,5,2018,Injury/Death,Snake,Medium,201
Maharashtra,12,2024,Illegal trade,Wild Boar,Medium,74
Tamil Nadu,3,2018,Poaching,Leopard,Low,78
West Bengal,1,2019,Poaching,Tiger,Medium,48
Odisha,1,2024,Wild animal entering populated area,Lion,High,506
Uttar Pradesh,8,2023,Wild animal entering populated area,Deer,High,499
Assam,10,2022,Wild animal entering populated area,Elephant,Low,139
Maharashtra,11,2023,Conflict with humans,Monkey,High,475
Assam,12,2024,Wild animal entering populated area,Elephant,Low,54
West Bengal,12,2019,Injury/Death,Rhino,High,280
Maharashtra,2,2022,Wild animal entering populated area,Bear,Low,132
Kerala,3,2025,Smuggling,Deer,Medium,206
Madhya Pradesh,2,2018,Conflict with humans,Leopard,Critical,278
West Bengal,3,2019,Injury/Death,Rhino,Medium,148
Maharashtra,7,2023,Wild animal entering populated area,Bear,Low,109
Odisha,1,2022,Conflict with humans,Leopard,Medium,111
Kerala,10,2025,Smuggling,Wild Boar,Medium,192
Tamil Nadu,8,2018,Wild animal entering populated area,Deer,Critical,191
Uttar Pradesh,10,2023,Conflict with humans,Crocodile,Low,98
Tamil Nadu,10,2019,Conflict with humans,Tiger,Low,75
Uttar Pradesh,10,2019,Injury/Death,Deer,Medium,188
Tamil Nadu,2,2018,Conflict with humans,Snake,Medium,205
Madhya Pradesh,3,2021,Illegal trade,Deer,Critical,594
Madhya Pradesh,9,2024,Wild animal entering populated area,Deer,Critical,955
Maharashtra,7,2022,Conflict with humans,Elephant,High,288
Odisha,4,2019,Illegal trade,Leopard,Low,67
West Bengal,10,2022,Conflict with humans,Rhino,Critical,392
Madhya Pradesh,5,2024,Smuggling,Deer,Critical,614
Assam,2,2019,Conflict with humans,Elephant,High,304
Uttar Pradesh,11,2022,Illegal trade,Cheetah,Critical,137
Assam,8,2024,Wild animal entering populated area,Elephant,Low,73
Odisha,4,2020,Conflict with humans,Bear,Medium,57
Tamil Nadu,9,2024,Wild animal entering populated area,Elephant,Low,92
Kerala,5,2021,Wild animal entering populated area,Elephant,High,409
Rajasthan,9,2024,Wild animal entering populated area,Deer,High,420
Uttar Pradesh,4,2025,Smuggling,Leopard,High,86
Uttar Pradesh,10,2023,Smuggling,Tiger,High,182
Assam,5,2021,Poaching,Tiger,Medium,75
Karnataka,9,2025,Wild animal entering populated area,Deer,Low,29
Madhya Pradesh,8,2022,Poaching,Cheetah,Low,117
Madhya Pradesh,3,2019,Poaching,Leopard,High,322
Maharashtra,1,2024,Smuggling,Deer,Low,58
Madhya Pradesh,3,2024,Wild animal entering populated area,Bear,Medium,192
Karnataka,4,2023,Wild animal entering populated area,Elephant,Medium,79
Uttar Pradesh,2,2022,Wild animal entering populated area,Deer,Medium,134
West Bengal,1,2021,Conflict with humans,Rhino,Low,25
Tamil Nadu,7,2019,Injury/Death,Snake,Medium,186
Maharashtra,8,2019,Wild animal entering populated area,Deer,Medium,130
Madhya Pradesh,7,2021,Poaching,Leopard,Medium,178
Karnataka,5,2023,Wild animal entering populated area,Monkey,Critical,150
Karnataka,12,2022,Smuggling,Bear,Medium,120
Kerala,1,2021,Wild animal entering populated area,Monkey,Medium,224
Tamil Nadu,7,2025,Wild animal entering populated area,Deer,Low,31
Madhya Pradesh,7,2018,Wild animal entering populated area,Deer,Medium,120
Assam,9,2019,Wild animal entering populated area,Rhino,High,489
Tamil Nadu,3,2024,Injury/Death,Wild Boar,Critical,896
Maharashtra,9,2022,Wild animal entering populated area,Rhino,Low,107
Odisha,1,2023,Smuggling,Monkey,Low,72
Maharashtra,1,2018,Smuggling,Deer,Low,41
Assam,4,2022,Smuggling,Tiger,Medium,154
Uttar Pradesh,9,2018,Wild animal entering populated area,Monkey,Critical,146
Assam,6,2019,Wild animal entering populated area,Elephant,Low,126
Himachal Pradesh,11,2019,Smuggling,Rhino,Low,65
West Bengal,3,2023,Conflict with humans,Elephant,Low,70
Uttar Pradesh,1,2024,Wild animal entering populated area,Monkey,Low,87
Kerala,4,2021,Injury/Death,Bear,Medium,152
Maharashtra,12,2024,Conflict with humans,Deer,Medium,154
Karnataka,9,2023,Conflict with humans,Tiger,Critical,538
Assam,3,2023,Injury/Death,Rhino,Critical,190
Tamil Nadu,12,2020,Conflict with humans,Tiger,Low,130
Rajasthan,9,2023,Smuggling,Leopard,Low,78
Uttar Pradesh,7,2022,Wild animal entering populated area,Elephant,Low,26
Rajasthan,12,2021,Smuggling,Deer,Medium,162
Uttar Pradesh,4,2025,Conflict with humans,Tiger,Low,89
Assam,3,2022,Wild animal entering populated area,Elephant,Low,107
Tamil Nadu,10,2018,Wild animal entering populated area,Monkey,Low,47
Himachal Pradesh,5,2020,Poaching,Rhino,Low,29
Tamil Nadu,5,2022,Conflict with humans,Monkey,Medium,32
Karnataka,3,2025,Injury/Death,Wild Boar,Medium,73
Maharashtra,12,2022,Injury/Death,Wild Boar,High,326
Karnataka,9,2024,Wild animal entering populated area,Wild Boar,Medium,114
Maharashtra,4,2021,Wild animal entering populated area,Rhino,Medium,156
Rajasthan,11,2018,Conflict with humans,Bear,High,247
Kerala,5,2020,Wild animal entering populated area,Monkey,Low,76
Karnataka,4,2019,Injury/Death,Deer,Low,72
Karnataka,5,2022,Conflict with humans,Monkey,Medium,197
Uttar Pradesh,7,2019,Wild animal entering populated area,Monkey,Low,144
Assam,9,2021,Illegal trade,Lion,Medium,114
Odisha,7,2023,Wild animal entering populated area,Lion,Low,59
Rajasthan,5,2022,Poaching,Leopard,Low,79
Tamil Nadu,10,2020,Conflict with humans,Crocodile,Critical,664
Maharashtra,10,2023,Wild animal entering populated area,Monkey,High,99
Karnataka,7,2023,Wild animal entering populated area,Monkey,Low,98
Karnataka,10,2020,Smuggling,Monkey,Critical,663
Karnataka,5,2020,Poaching,Leopard,High,225
Maharashtra,3,2024,Smuggling,Deer,High,428
Rajasthan,7,2023,Wild animal entering populated area,Deer,Low,96
Tamil Nadu,11,2025,Conflict with humans,Tiger,Critical,893
Odisha,11,2022,Poaching,Monkey,Critical,655
Rajasthan,2,2019,Conflict with humans,Leopard,Critical,650
Himachal Pradesh,12,2023,Wild animal entering populated area,Elephant,Low,72
Maharashtra,9,2018,Wild animal entering populated area,Monkey,High,34
Goa,10,2023,Smuggling,Leopard,Low,81
Uttar Pradesh,10,2020,Conflict with humans,Leopard,Medium,191
Madhya Pradesh,12,2021,Conflict with humans,Deer,Low,92
Rajasthan,1,2021,Wild animal entering populated area,Bear,Critical,484
Uttar Pradesh,6,2024,Wild animal entering populated area,Bear,Low,110
Uttar Pradesh,7,2023,Wild animal entering populated area,Deer,Low,90
Karnataka,8,2018,Wild animal entering populated area,Monkey,High,391
Maharashtra,10,2023,Trap/Accident,Monkey,High,477
Odisha,9,2025,Injury/Death,Snake,High,449
Uttar Pradesh,2,2019,Conflict with humans,Leopard,Low,51
Madhya Pradesh,11,2024,Conflict with humans,Deer,Critical,467
Uttar Pradesh,10,2022,Poaching,Leopard,Low,67
Maharashtra,2,2019,Conflict with humans,Wild Boar,Critical,149
Goa,5,2024,Smuggling,Rhino,Critical,224
Maharashtra,5,2023,Conflict with humans,Leopard,Low,71
Maharashtra,6,2022,Conflict with humans,Leopard,Medium,180
Rajasthan,3,2021,Conflict with humans,Leopard,Low,59
Tamil Nadu,8,2020,Wild animal entering populated area,Crocodile,Low,102
Uttarakhand,1,2023,Conflict with humans,Monkey,Medium,44
Maharashtra,6,2021,Wild animal entering populated area,Monkey,High,194
Kerala,4,2023,Conflict with humans,Tiger,Medium,100
West Bengal,1,2021,Wild animal entering populated area,Elephant,Medium,176
Kerala,7,2019,Injury/Death,Snake,Critical,311
Karnataka,9,2023,Injury/Death,Snake,Low,125
Rajasthan,4,2024,Trap/Accident,Bear,Low,43
Uttar Pradesh,4,2021,Poaching,Tiger,Critical,240
Uttar Pradesh,6,2020,Conflict with humans,Tiger,Low,84
Madhya Pradesh,12,2022,Injury/Death,Deer,High,94
Odisha,3,2022,Conflict with humans,Elephant,Medium,181
Tamil Nadu,12,2024,Smuggling,Leopard,Low,75
West Bengal,6,2019,Conflict with humans,Tiger,Medium,60
West Bengal,7,2025,Conflict with humans,Elephant,Medium,58
Assam,11,2022,Wild animal entering populated area,Elephant,Medium,176
Odisha,10,2021,Wild animal entering populated area,Deer,Medium,142
Karnataka,10,2019,Conflict with humans,Elephant,High,177
Karnataka,3,2023,Conflict with humans,Deer,Low,92
West Bengal,7,2023,Conflict with humans,Elephant,Medium,67
Karnataka,3,2025,Wild animal entering populated area,Rhino,Critical,439
Karnataka,2,2020,Poaching,Monkey,Critical,815
Himachal Pradesh,12,2019,Wild animal entering populated area,Deer,Medium,146
Maharashtra,10,2023,Conflict with humans,Snake,Low,49
Uttar Pradesh,4,2018,Poaching,Leopard,Low,43
Himachal Pradesh,12,2019,Poaching,Leopard,Medium,147
Tamil Nadu,8,2024,Injury/Death,Snake,Low,38
Karnataka,9,2022,Wild animal entering populated area,Crocodile,Medium,207
Assam,7,2019,Conflict with humans,Elephant,High,519
Assam,1,2021,Poaching,Tiger,Low,69
Uttar Pradesh,3,2024,Injury/Death,Bear,Medium,190
Uttarakhand,12,2022,Trap/Accident,Rhino,High,105
Odisha,9,2024,Conflict with humans,Snake,Critical,956
Kerala,12,2023,Wild animal entering populated area,Deer,High,83
West Bengal,1,2022,Conflict with humans,Elephant,High,470
Goa,9,2019,Wild animal entering populated area,Elephant,Medium,117
Odisha,8,2025,Illegal trade,Leopard,Low,87
Uttar Pradesh,1,2024,Conflict with humans,Deer,Low,28
Rajasthan,6,2019,Wild animal entering populated area,Deer,High,511
West Bengal,5,2024,Wild animal entering populated area,Elephant,Low,84
Madhya Pradesh,6,2022,Wild animal entering populated area,Deer,High,188
Madhya Pradesh,10,2025,Injury/Death,Bear,Critical,77
Maharashtra,12,2022,Wild animal entering populated area,Deer,Low,58
Karnataka,5,2024,Wild animal entering populated area,Deer,Medium,187
Tamil Nadu,6,2020,Wild animal entering populated area,Rhino,Low,114
Assam,5,2023,Wild animal entering populated area,Elephant,Medium,115
Rajasthan,11,2023,Conflict with humans,Deer,Low,124
Tamil Nadu,12,2020,Injury/Death,Monkey,Low,111
Maharashtra,5,2021,Wild animal entering populated area,Bear,High,378
West Bengal,4,2022,Conflict with humans,Elephant,Low,49
Goa,3,2024,Wild animal entering populated area,Elephant,Critical,217
Odisha,3,2022,Wild animal entering populated area,Monkey,Medium,134
Uttar Pradesh,4,2019,Injury/Death,Bear,Critical,833
Uttar Pradesh,9,2022,Conflict with humans,Elephant,Low,63
Maharashtra,2,2018,Conflict with humans,Snake,Low,70
Maharashtra,9,2025,Wild animal entering populated area,Crocodile,Low,53
Uttar Pradesh,1,2018,Smuggling,Wild Boar,High,460
Tamil Nadu,1,2022,Injury/Death,Crocodile,Low,12
Karnataka,5,2023,Smuggling,Leopard,Low,105
Maharashtra,6,2018,Conflict with humans,Leopard,High,287
Odisha,6,2022,Wild animal entering populated area,Rhino,Low,139
Madhya Pradesh,3,2022,Smuggling,Deer,Medium,169
Rajasthan,7,2024,Wild animal entering populated area,Deer,Medium,206
Odisha,9,2024,Conflict with humans,Snake,Low,60
Odisha,11,2022,Injury/Death,Snake,Low,47
West Bengal,12,2020,Wild animal entering populated area,Lion,Low,127
Karnataka,10,2022,Conflict with humans,Elephant,Low,104
Maharashtra,8,2018,Wild animal entering populated area,Elephant,Low,39
Assam,6,2023,Poaching,Tiger,Low,69
Uttar Pradesh,12,2025,Conflict with humans,Tiger,Low,89
West Bengal,8,2019,Wild animal entering populated area,Rhino,High,243
Madhya Pradesh,12,2020,Conflict with humans,Bear,Medium,72
Karnataka,5,2023,Injury/Death,Snake,Medium,209
Rajasthan,8,2019,Conflict with humans,Leopard,High,290
West Bengal,10,2022,Wild animal entering populated area,Elephant,Low,97
Uttar Pradesh,12,2021,Poaching,Tiger,Low,93
Maharashtra,4,2023,Wild animal entering populated area,Monkey,Medium,139
Tamil Nadu,10,2024,Wild animal entering populated area,Crocodile,Low,108
Tamil Nadu,8,2023,Wild animal entering populated area,Monkey,Low,35
Uttarakhand,10,2018,Illegal trade,Tiger,Medium,122
Madhya Pradesh,12,2022,Poaching,Leopard,High,322
Tamil Nadu,2,2023,Conflict with humans,Elephant,High,205
Assam,12,2024,Trap/Accident,Rhino,Medium,136
Tamil Nadu,12,2021,Trap/Accident,Deer,Medium,156
Odisha,5,2024,Injury/Death,Monkey,High,528
Kerala,9,2021,Wild animal entering populated area,Monkey,Medium,155
Rajasthan,4,2022,Conflict with humans,Leopard,High,421
Uttar Pradesh,11,2023,Conflict with humans,Monkey,Low,91
Tamil Nadu,6,2024,Conflict with humans,Tiger,Medium,29
Tamil Nadu,1,2018,Conflict with humans,Elephant,Medium,184
Odisha,9,2024,Wild animal entering populated area,Bear,Low,101
Uttar Pradesh,1,2021,Conflict with humans,Deer,High,313
Uttar Pradesh,5,2018,Conflict with humans,Leopard,Critical,388
Odisha,4,2021,Wild animal entering populated area,Monkey,Medium,35
West Bengal,12,2020,Wild animal entering populated area,Elephant,Low,135
Rajasthan,3,2025,Wild animal entering populated area,Deer,High,411
Uttar Pradesh,6,2022,Illegal trade,Tiger,Medium,99
Karnataka,2,2024,Wild animal entering populated area,Elephant,Low,137
Tamil Nadu,3,2024,Smuggling,Tiger,Medium,171
Assam,5,2019,Illegal trade,Rhino,Low,95
West Bengal,9,2024,Wild animal entering populated area,Rhino,High,349
Assam,2,2023,Wild animal entering populated area,Elephant,Medium,166
Karnataka,10,2018,Trap/Accident,Monkey,Low,71
Rajasthan,8,2025,Wild animal entering populated area,Bear,Low,98
Odisha,2,2023,Smuggling,Deer,Low,105
Uttar Pradesh,11,2024,Injury/Death,Deer,High,499
Assam,5,2019,Poaching,Rhino,Medium,201
Uttarakhand,7,2021,Conflict with humans,Elephant,Medium,236
Odisha,8,2022,Wild animal entering populated area,Monkey,High,337
West Bengal,1,2021,Poaching,Rhino,Medium,207
Goa,6,2019,Wild animal entering populated area,Cheetah,High,336
Karnataka,1,2022,Conflict with humans,Elephant,Medium,78
Rajasthan,2,2018,Poaching,Leopard,Medium,119
Rajasthan,1,2023,Wild animal entering populated area,Bear,Medium,154
Maharashtra,11,2020,Conflict with humans,Wolf,Low,107
Odisha,5,2025,Conflict with humans,Tiger,Critical,820
Madhya Pradesh,10,2020,Poaching,Wolf,Low,41
Uttar Pradesh,9,2019,Wild animal entering populated area,Deer,High,306
Maharashtra,6,2022,Wild animal entering populated area,Monkey,Low,29
Madhya Pradesh,11,2025,Illegal trade,Leopard,Critical,486
Uttar Pradesh,11,2022,Conflict with humans,Wild Boar,High,33
Goa,1,2025,Wild animal entering populated area,Rhino,Medium,176
Uttar Pradesh,1,2020,Conflict with humans,Wild Boar,High,376
Tamil Nadu,2,2023,Poaching,Tiger,Medium,143
